"eid","subject_abbreviation","subject"
"2-s2.0-0034949173","Bio-M","Biosphere - Marine"
"2-s2.0-0034816357","Bio-M","Biosphere - Marine"
"2-s2.0-0034907027","Bio-M","Biosphere - Marine"
"2-s2.0-0035720461","Bio-M","Biosphere - Marine"
"2-s2.0-0035011325","Bio-M","Biosphere - Marine"
"2-s2.0-0034953489","Bio-M","Biosphere - Marine"
"2-s2.0-0034949122","Bio-M","Biosphere - Marine"
"2-s2.0-0034948823","Bio-M","Biosphere - Marine"
"2-s2.0-0035079670","Bio-M","Biosphere - Marine"
"2-s2.0-0034953493","Bio-M","Biosphere - Marine"
"2-s2.0-0034954697","Bio-M","Biosphere - Marine"
"2-s2.0-0035721905","Bio-M","Biosphere - Marine"
"2-s2.0-0035166645","Bio-M","Biosphere - Marine"
"2-s2.0-0035874987","Bio-M","Biosphere - Marine"
"2-s2.0-0034959931","Bio-M","Biosphere - Marine"
"2-s2.0-0035723027","Bio-M","Biosphere - Marine"
"2-s2.0-0034914378","Bio-M","Biosphere - Marine"
"2-s2.0-0035744739","Bio-M","Biosphere - Marine"
"2-s2.0-0035065623","Bio-M","Biosphere - Marine"
"2-s2.0-0034976812","Bio-M","Biosphere - Marine"
"2-s2.0-0035013637","Bio-M","Biosphere - Marine"
"2-s2.0-0035804609","Bio-M","Biosphere - Marine"
"2-s2.0-0035011688","Bio-M","Biosphere - Marine"
"2-s2.0-0034955488","Bio-M","Biosphere - Marine"
"2-s2.0-0035035301","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0035207713","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0035085128","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0035092806","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0034954957","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0034899303","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0034989101","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0034818883","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0035044793","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0034833598","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0035654041","Cryos","Cryosphere"
"2-s2.0-0035652489","Cryos","Cryosphere"
"2-s2.0-0035655652","Cryos","Cryosphere"
"2-s2.0-0035654042","Cryos","Cryosphere"
"2-s2.0-0035657141","Cryos","Cryosphere"
"2-s2.0-0035655896","Cryos","Cryosphere"
"2-s2.0-0035657402","Cryos","Cryosphere"
"2-s2.0-0035738944","Geosp","Geosphere"
"2-s2.0-0035737521","Geosp","Geosphere"
"2-s2.0-0034767624","Geosp","Geosphere"
"2-s2.0-84900420017","Geosp","Geosphere"
"2-s2.0-0035738220","Geosp","Geosphere"
"2-s2.0-0035737410","Geosp","Geosphere"
"2-s2.0-0034927251","Geosp","Geosphere"
"2-s2.0-0035738332","Geosp","Geosphere"
"2-s2.0-0035720536","Geosp","Geosphere"
"2-s2.0-0035737447","Geosp","Geosphere"
"2-s2.0-0035909255","Geosp","Geosphere"
"2-s2.0-0035688014","Geosp","Geosphere"
"2-s2.0-0035212956","Geosp","Geosphere"
"2-s2.0-0035738942","Geosp","Geosphere"
"2-s2.0-84871095907","Geosp","Geosphere"
"2-s2.0-0035738766","Geosp","Geosphere"
"2-s2.0-0035737381","Geosp","Geosphere"
"2-s2.0-0035715761","Geosp","Geosphere"
"2-s2.0-84879881733","Geosp","Geosphere"
"2-s2.0-79952791867","Human","Human"
"2-s2.0-0035146005","Human","Human"
"2-s2.0-0035140489","Human","Human"
"2-s2.0-0035718643","Human","Human"
"2-s2.0-0035669047","Ocean","Oceans"
"2-s2.0-0035121601","Ocean","Oceans"
"2-s2.0-0142035046","Ocean","Oceans"
"2-s2.0-0034949037","Ocean","Oceans"
"2-s2.0-0033840910","Atmos","Atmosphere"
"2-s2.0-0034290609","Atmos","Atmosphere"
"2-s2.0-0037990261","Atmos","Atmosphere"
"2-s2.0-16644372285","Atmos","Atmosphere"
"2-s2.0-0034641950","Atmos","Atmosphere"
"2-s2.0-0034641934","Bio-M","Biosphere - Marine"
"2-s2.0-0034641955","Bio-M","Biosphere - Marine"
"2-s2.0-0033749627","Bio-M","Biosphere - Marine"
"2-s2.0-0034113319","Bio-M","Biosphere - Marine"
"2-s2.0-0033948791","Bio-M","Biosphere - Marine"
"2-s2.0-0033820680","Bio-M","Biosphere - Marine"
"2-s2.0-0033673527","Bio-M","Biosphere - Marine"
"2-s2.0-0033832037","Bio-M","Biosphere - Marine"
"2-s2.0-0034492378","Bio-M","Biosphere - Marine"
"2-s2.0-0034237334","Bio-M","Biosphere - Marine"
"2-s2.0-0034536972","Bio-M","Biosphere - Marine"
"2-s2.0-0033848345","Bio-M","Biosphere - Marine"
"2-s2.0-0034536585","Bio-M","Biosphere - Marine"
"2-s2.0-0034110409","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0033965637","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0034594351","Bio-T","Biosphere - Terrestrial"
